,cpu_usage,memory_usage,disk_io,network_traffic,db_connections,failed_logins,response_time,thread_count,anomaly,label
1091,44.627777634901584,60.67417134515808,202.4705910789179,528.1741460093036,1188.0,129.0,3280.338039847425,69.31871593842996,-1,1
1139,102.01172742310898,110.8422518127509,206.51992572344392,527.1907020940023,1041.0,167.0,5325.333101384469,78.94172140373277,-1,1
1143,46.25576453471543,63.61293759236771,248.4102823675012,617.3167567789959,959.0,60.0,4148.428740632253,60.321771729886265,-1,1
1246,95.34083468259226,96.63943749599102,161.77597067675265,517.4919957300409,959.0,136.0,4855.045988236063,87.9483450158535,-1,1
1249,29.44104353796373,63.56951609471829,272.2801410402918,650.7709489119211,830.0,160.0,4279.62377597962,83.11452462731926,-1,1
1313,100.57810306351864,109.01583709821456,327.35663921506,924.2632945613371,1129.0,103.0,3641.694338592992,84.37902270232884,-1,1
1404,104.96047685805816,123.801306578024,333.90741854560133,766.1667238431395,1049.0,63.0,3037.2982241263794,89.69626475800123,-1,1
1441,106.73473857485324,115.76591074650425,290.5892476819948,652.3376406711446,1051.0,167.0,3981.31192464989,70.06173068627,-1,1
1443,82.03168052044154,108.23200579203224,264.0265672666873,435.7024248633657,1147.0,71.0,3765.4357792483233,56.23521403694993,-1,1
1517,51.30811684554777,51.60152033876047,273.8727781833465,809.1145650341044,884.0,143.0,3562.551662273145,69.38541493048369,-1,1
1525,55.88748619704186,49.99565694998553,115.14550899859222,762.8762265982386,708.0,146.0,4625.424539344314,72.39717887070483,-1,1
1576,78.8486818409449,100.98177068198648,284.2278549667699,620.0911619608601,885.0,143.0,4689.559695923367,71.2274725202733,-1,1
1597,65.574954697117,71.25637751760715,399.7959453714877,922.4412456057648,852.0,110.0,4678.868842325561,65.48642692668716,-1,1
1639,34.32467085745727,48.16438701132657,262.03116787605137,616.7657683049529,847.0,148.0,5690.460187287288,70.01062676571759,-1,1
1643,99.52371796249732,116.13414232764208,287.78182719265584,570.1669068130659,1036.0,180.0,4481.584067109753,68.90296152078835,-1,1
1647,54.85729995679863,59.55551967389885,232.4729925723336,815.7686099187024,1046.0,178.0,5470.362792429492,82.37250396649127,-1,1
1672,91.0824185095618,113.64929329972418,245.54632969899168,843.2036127298844,773.0,163.0,3682.420893457204,87.7634039222049,-1,1
1681,44.75804393609084,59.27018659512727,164.42124895341294,653.0933299512111,739.0,192.0,3033.758861251135,79.92311593784981,-1,1
1750,67.96767707000762,111.67539728072164,288.3703077293852,866.8813556579328,925.0,96.0,5068.354168906439,78.56451562849398,-1,1
1855,38.293797909233554,58.23214076519036,250.1391465725718,903.4191413773884,1039.0,106.0,5077.385172958389,91.98060405517792,-1,1
1938,55.85786324939348,55.202430298329006,324.4540160145891,802.0976461987249,996.0,193.0,4248.248821525278,82.70618716296235,-1,1
2073,96.97315707405596,106.5476490130838,391.3254690432189,810.9419019078056,1142.0,185.0,5213.985723444898,89.54657957316186,-1,1
2091,48.00474359610829,61.96702940712585,304.59574932562515,1159.919386076548,807.0,85.0,3632.2252316810536,80.75304202827881,-1,1
2111,43.37207093927706,53.47513559356642,296.0388620863133,1184.4072266495525,938.0,115.0,4523.750361943686,101.84004698964446,-1,1
2211,51.04515326355367,64.52498417127593,243.24304704009916,461.06814553566016,724.0,69.0,4235.626590861259,79.45290369615071,-1,1
2218,65.99721789166516,59.533531524281074,211.1578013263526,983.5166435442916,1050.0,185.0,5574.768558367356,74.14967742758414,-1,1
2253,44.87911052153945,47.864206904954365,184.2082763406016,1088.5985014775133,744.0,117.0,3308.4243574322218,80.8669623599809,-1,1
2371,39.51712703509399,68.3591434753599,272.28737327335307,667.3910798232871,1074.0,182.0,3779.172018970436,88.72766878042285,-1,1
2412,83.77455193755586,119.63992206571442,232.15201492122964,856.3754303664616,951.0,73.0,4186.651374232864,91.09282553059306,-1,1
2445,47.6348721533106,65.13733962645628,158.89736339872388,548.6365024277464,1182.0,86.0,3477.09689369848,79.586111008858,-1,1
2457,97.39404500535376,112.82282351663648,150.6742246426212,598.7943037753273,822.0,118.0,3579.186441487488,78.96907331175866,-1,1
2526,49.200944904518416,74.99469724190402,100.14554885639676,654.6560759723945,1047.0,192.0,3283.05048051961,76.10559415027197,-1,1
2590,107.3743813468414,103.5319376511416,187.52987743088133,668.1071173471687,1008.0,187.0,5383.993784375284,81.96583335436749,-1,1
2622,45.838266279293606,69.66237265716721,227.07034990838375,444.5877982165754,1122.0,197.0,5996.020344007649,73.84723651912252,-1,1
2626,109.0336997012519,103.98730341687136,324.6360994213369,603.2203779782426,853.0,112.0,3355.322280335917,79.37972921010963,-1,1
2658,46.71839339793532,57.582832192128016,264.45388167514284,655.1042839278375,932.0,157.0,4536.088204870268,76.54350246868225,-1,1
2707,95.23903043284956,116.301576730273,292.7120301510557,973.310729802552,1163.0,123.0,3400.7169750130074,76.14862792973047,-1,1
2731,111.85014278708508,101.51900280795006,274.0652419794338,806.1201498076509,917.0,195.0,5819.981202183628,96.48348190306965,-1,1
2763,88.68422270834668,104.97433680204333,197.81665889530493,652.0570389440243,867.0,187.0,5400.349981708077,76.3917732012724,-1,1
2767,99.54740912141132,115.36203267867464,267.45514436619726,520.3669349311131,870.0,85.0,5602.866726194172,83.73579316805964,-1,1
2796,100.731278132412,96.61417434147188,262.2039042553848,1041.5650109539022,733.0,113.0,4530.46287479794,77.61725835284098,-1,1
2873,89.153822693428,115.98687658046016,260.2093978402501,694.5308529121652,842.0,131.0,4748.675710262868,94.21413540372392,-1,1
2890,46.41257140087463,69.54341887648067,207.5578230680977,805.7088502243007,1048.0,105.0,4091.7933562196895,77.44608431906302,-1,1
3023,106.53900734255748,105.21824391996768,272.4576572627506,673.9016100991694,1085.0,75.0,5667.351356905818,75.56629909862829,-1,1
3072,47.02328796422802,55.21690030150498,179.10044617883406,609.2995624924431,1018.0,64.0,4364.027068303984,68.60459116215208,-1,1
3193,88.82358323066303,114.60789436395454,313.6184318846008,897.7229705674589,1113.0,131.0,4547.487549573184,78.94735222379401,-1,1
3284,79.3850677755814,112.74023155463117,145.58538923231515,512.7727087738581,1066.0,148.0,3842.8605789333897,69.63200996099299,-1,1
3295,84.24687606950762,114.71543325719313,148.47722386228543,868.6797500085353,1073.0,148.0,3294.498388600387,74.2103351721393,-1,1
3343,57.300005727191504,57.30563073778718,294.27517555295424,434.9459708503062,959.0,174.0,4125.1440621523125,95.13756030729463,-1,1
3344,85.35294574249285,103.61014918334811,253.24318555040892,602.2288729997331,1147.0,94.0,3893.610284842975,64.41018606327597,-1,1
3381,56.90548594343596,55.15837713427671,346.0874924064988,432.8418810174202,1119.0,68.0,4563.337975843158,80.70875680689282,-1,1
3445,33.589914902472614,67.73280945197172,204.94601371101083,571.7145548831423,1120.0,129.0,3144.914379089284,80.64707805139626,-1,1
3453,39.3939236315269,69.01074752128196,145.39776300277697,823.2223677483256,973.0,126.0,3266.286153874471,89.17557652685646,-1,1
3469,92.81346722564965,107.16607438151463,269.7579196965939,761.5206309342157,822.0,123.0,3943.5306145065297,49.67035527075559,-1,1
3503,45.511979018810855,56.64867401712642,305.8747199100976,958.710129241735,778.0,89.0,5675.247542821371,72.85609036953683,-1,1
3550,39.68545448640785,52.86603181668002,318.54852485819976,387.0876534547756,1149.0,60.0,4240.051964567083,83.71983939207445,-1,1
3579,34.33765068100775,41.7496465158319,208.03741745120024,487.2519683771384,878.0,158.0,4158.450828992618,84.72325559685336,-1,1
3603,45.006828189574826,49.59252506131914,224.9977234389845,751.30373356618,1020.0,107.0,5556.444373035123,74.32924767106003,-1,1
3671,53.72315380028451,79.5140400285469,277.8341285631995,818.6298165785742,771.0,143.0,5918.093016832514,83.08715859240634,-1,1
3720,104.95581514002028,119.00631352450128,311.9012844672988,782.1820536107837,1054.0,119.0,4616.971451263051,88.2595277800836,-1,1
3778,74.24411990921467,118.31071386218623,294.3678421068816,751.4443831359489,1037.0,159.0,5646.715700313248,64.70440902659519,-1,1
3820,41.00100937868863,68.15777238539098,283.5792909337165,869.1419880424439,790.0,108.0,3241.4763828312703,79.89906526519623,-1,1
3825,56.7171791471616,54.97737517342774,285.7342586257091,456.8199120847936,918.0,90.0,3744.3610375247017,68.51407608971753,-1,1
3859,43.04609648822976,69.75189361028588,315.37712618633583,704.9209466043554,955.0,113.0,3915.563812550664,88.76419295825342,-1,1
3910,30.847328080758125,54.76236082193554,139.03093926198738,1093.5634943597477,920.0,194.0,4667.017969277035,89.17698000291836,-1,1
3935,98.8831200542345,97.34404046717393,270.23190901681875,791.952697594684,772.0,92.0,5611.5004898980105,89.86344878360941,-1,1
4113,79.69538590256623,113.3867378806116,362.43653535834943,940.4964886479008,916.0,82.0,3944.797169439768,80.11827645479538,-1,1
4137,48.379575282321184,59.85987586940416,231.57881514456977,729.6950713855932,1112.0,70.0,4324.52977684301,88.62214171192328,-1,1
4264,44.40173856470096,43.89630354204829,209.2474733564881,833.6816319900242,889.0,101.0,5220.960163421439,80.94627300113524,-1,1
4296,84.44910631823305,108.66619671795564,248.4733967173144,789.5275847815874,1050.0,193.0,3872.277469282022,58.81042077145929,-1,1
4337,100.03252064749503,117.13856115363107,269.5190071423124,933.7531231961292,755.0,131.0,5250.008151902026,61.86624507242459,-1,1
4360,98.07403569719688,120.97621380831724,297.2089828146029,860.5173141082449,778.0,83.0,5399.201263488249,81.59851776990138,-1,1
4366,89.74369066014616,93.20439164412578,256.72568988062216,968.7131309790166,868.0,150.0,3620.297181578384,92.30954865184236,-1,1
4384,38.92527712379693,60.16859954141351,315.1061842432533,717.5409892617729,945.0,131.0,4325.073254208199,90.51147902165626,-1,1
4408,100.4090851856099,118.12357437933552,329.21199126215487,612.6436006177971,858.0,63.0,4005.480919402563,76.72469860735563,-1,1
4447,95.99886954409212,103.24963633675158,345.8602388829515,649.4816458147558,1058.0,91.0,3227.675094092379,85.92233271305768,-1,1
4480,83.05477060233966,107.9777982409189,271.26124630017074,618.4773944349447,872.0,125.0,5397.054420947565,72.86525425630535,-1,1
4591,46.962409406667206,58.95095324328932,234.90638098670263,505.5945094775839,837.0,157.0,3117.4772723043443,81.02228778666282,-1,1
4600,92.84039479649768,107.93176425171454,363.22293723222106,517.6438261984113,843.0,62.0,5564.299795519446,70.68510699985845,-1,1
4604,34.07858406571267,64.63897015929632,288.61523517232683,657.9963160669337,955.0,174.0,3028.4631322060754,95.7366668306993,-1,1
4619,43.94181242502302,54.12391046149671,250.98965113859137,538.835039365759,784.0,143.0,4826.909839590883,63.18978964889212,-1,1
4628,105.96069907477398,111.0034247081188,213.78925076225303,664.5324018018189,1082.0,78.0,4525.710844999441,73.59376203571587,-1,1
4669,45.35566074032994,66.82363634553101,324.97139365711206,671.3207718486676,1049.0,100.0,5744.64448417403,61.61640410038126,-1,1
4689,90.17090160539482,124.57201357068156,330.96182201956344,914.0355153531472,1174.0,61.0,3494.8902598445784,72.81037230515908,-1,1
4692,54.51306244299484,51.02747094929581,255.7376142315562,808.0161194580814,1190.0,66.0,3354.460507458042,52.25176519659564,-1,1
4795,82.35993832052637,105.92759869126144,201.88689820039707,804.4137646141277,1073.0,179.0,3264.822924127842,78.12001986502335,-1,1
4843,93.58351413989874,106.63897240598536,140.50345265768868,761.5772334465387,994.0,137.0,4221.56722261979,75.10644244503045,-1,1
4864,94.24128549314976,116.58220772172082,242.8025397776004,369.3910800060848,1009.0,140.0,5930.207045873348,73.31208068044893,-1,1
4871,58.601159001803126,56.92743946564127,232.79582978776511,538.1516262473904,704.0,158.0,4463.088831885298,68.08696094066889,-1,1
4889,101.35967750711738,117.56072119877814,252.1685295517652,907.59754431238,985.0,131.0,3721.789946678604,73.92680821819856,-1,1
4958,94.48477071475354,114.771922741134,247.48240452784265,765.9213756768335,889.0,99.0,3042.524695410225,81.68684981853279,-1,1
4972,84.9155126745265,89.58155319021799,149.64515171809512,714.1002772505833,732.0,140.0,4440.748945810359,77.542396913764,-1,1
4988,46.92596918731305,56.42068632416107,314.65192764065523,483.5831431011273,1041.0,74.0,5813.569523201811,85.03377914680638,-1,1
5138,38.07649225766206,59.46506237279621,254.8036309153827,868.526175616835,717.0,190.0,4142.847095333981,70.71848959927019,-1,1
5140,39.258993247164014,51.00240119866935,404.15072787660273,367.1698613555363,852.0,78.0,4980.682771400502,75.12462204989933,-1,1
5195,40.71345473083467,40.88320314269679,199.7202357661293,1014.0199499079654,761.0,154.0,3411.71553690738,89.02784209228113,-1,1
5230,63.07608507769263,64.20125999009065,123.79828601838824,570.840480584378,970.0,71.0,5104.815291371904,85.40484524256624,-1,1
5240,93.98005283364068,107.683803655474,218.1645936910958,826.5020920518904,943.0,93.0,5814.033484155845,73.17993835953358,-1,1
5327,97.17802339748728,106.10625598496682,158.09297436174808,845.3080843634658,980.0,140.0,4530.154903348095,68.95396841321865,-1,1
5363,35.72446669188272,70.59227633008918,212.6242725567917,598.6686752526736,852.0,141.0,3037.6444705748218,92.88387772216662,-1,1
5376,70.7199531749497,61.53937224538746,229.9912600202054,830.8410282049915,882.0,70.0,3772.833799518273,88.92304375638602,-1,1
5457,92.22486381139768,99.4800848362274,272.55481487723944,882.0580649857307,943.0,115.0,4035.8572967445216,92.52218117717474,-1,1
5474,43.301476423222695,61.56982083937826,172.44591264592322,673.7948529294903,740.0,120.0,3308.970788992448,97.24209422572495,-1,1
5484,21.15693211214254,56.51989706230325,196.55747715557368,878.6191535068378,1053.0,98.0,5795.103359571391,81.84322178378359,-1,1
5526,106.18632334154212,118.50493977456622,289.28295385254097,875.2370718838686,870.0,184.0,5749.313287729685,67.386883610528,-1,1
5541,111.6992278140464,101.4198710243418,212.8958932542661,542.981236983559,1046.0,153.0,3371.49158032928,75.2997832477883,-1,1
5553,51.386771398803006,46.0075522961484,188.56727946106747,825.876112077419,865.0,165.0,5419.3601215254985,84.36845349940259,-1,1
5558,44.70783594146015,68.09704199343807,421.0380488398403,732.7077616563294,948.0,88.0,3493.5649640978936,85.5604706681935,-1,1
5615,19.464504039441017,61.17529887207575,209.12601871965435,576.334669868847,881.0,67.0,4891.607461851578,82.54349509314613,-1,1
5671,95.4600638673634,110.57156078870004,259.6816248545257,751.7265991866168,898.0,114.0,4227.233741163077,97.97338054962133,-1,1
5814,20.646876682171115,58.892355603947465,316.4572714417927,631.7314187822524,701.0,134.0,5310.603420002405,90.02083601534781,-1,1
6020,97.49450945930072,100.26953842105934,298.6182971735869,631.6027172995837,701.0,67.0,3207.2114740628467,78.66389405720521,-1,1
6051,105.2003650690209,110.76136796704152,209.168158937794,777.5531388127613,1072.0,146.0,4270.616181654686,96.50560260174107,-1,1
6211,46.25886530576658,51.20815242374354,202.5524755536808,640.7474586072096,712.0,170.0,3827.24024585213,63.09300988301416,-1,1
6326,89.8315311682617,115.93112912699476,367.50458951850914,872.4724203975929,1173.0,91.0,3933.862647909623,71.09025084726959,-1,1
6450,42.27155453659869,49.15019698260271,236.2993151318625,835.4700817479114,1170.0,106.0,4626.416000011841,81.32098232406076,-1,1
6475,101.1596700604684,110.3833996381422,358.5013581301806,1020.378441655452,704.0,160.0,3361.2248142693884,66.93626131125782,-1,1
6552,48.97397023459234,72.08442051182945,177.5675611615683,807.0931059517727,703.0,176.0,3632.7105361957215,60.469963761462175,-1,1
6616,55.89536583076641,60.762314669314414,155.66618642820447,839.484422956725,1113.0,174.0,4589.27037728405,76.84140022485595,-1,1
6694,100.20689496422668,122.6684779437341,319.58875091482287,827.2751295186686,739.0,134.0,5375.157204674631,74.098015021,-1,1
6826,30.04458463501796,53.191286716772055,221.1519842925136,697.8572032180614,775.0,62.0,4147.728265724142,84.68094386720729,-1,1
6827,94.87701550691943,117.35997030187198,285.902619445275,654.957898725035,1052.0,94.0,5366.267221158626,81.602704775512,-1,1
6883,43.10985702317526,44.96220592966623,369.56965090033606,770.6384556712794,732.0,76.0,4881.210319502932,50.55713523234498,-1,1
6895,89.6120969542329,116.30691021913432,241.61647281004872,534.8616605708778,990.0,183.0,3730.960780091382,82.02132375148852,-1,1
6959,95.97155787086248,108.22221236567788,310.6326644858347,824.6967452792902,1115.0,175.0,4331.624629259272,96.54788091980956,-1,1
6970,84.3396782837232,114.2197815658489,115.901119212061,435.1203288517956,1098.0,121.0,3789.787831941231,62.98045495360351,-1,1
7061,50.97537705894728,55.2594008812134,243.85186192070535,684.8964201582916,893.0,140.0,3421.306251327762,89.07402812964195,-1,1
7077,65.59845001737402,67.63073815658342,140.06920890377216,666.6699021163306,794.0,160.0,5736.718114976664,79.26063398463135,-1,1
7099,80.92912805215983,109.35165961121491,261.84288195185434,698.3056818965646,1163.0,191.0,3864.799432974807,91.06435197329913,-1,1
7215,50.63787875006915,62.79760546076607,236.99531091718495,758.2374263516007,1171.0,183.0,5524.092131494272,66.7806695509031,-1,1
7242,36.46176912495623,72.0657460910414,222.24144332986376,774.6463583766117,1157.0,195.0,4816.205974753442,87.36983353247298,-1,1
7265,38.43375929200296,66.1127450020706,190.9277311664756,249.2720472423088,875.0,119.0,4780.976416360365,93.0104214236788,-1,1
7296,36.75387990234978,62.30130136481365,248.33902319409165,849.4834286593953,1098.0,92.0,4023.590397654592,79.50545616671899,-1,1
7390,107.8279496883898,107.13905156541703,156.20007037182458,605.4135585767625,952.0,129.0,3599.3797715610717,73.73732572057953,-1,1
7409,56.79988529689787,65.84829893597004,206.61375463453055,976.8436999535965,1140.0,157.0,5847.89808021814,63.69727544572068,-1,1
7461,44.67957629319513,58.84757712413448,270.19933626185986,534.1263420182802,723.0,143.0,4767.892792249631,62.01410245178359,-1,1
7467,41.32762999200714,48.272266389245615,267.59349672668174,582.9949784744806,1049.0,150.0,3145.642689824175,70.33948908394669,-1,1
7561,33.714093269029654,58.543676300354726,192.3703807109775,666.1959769369046,1198.0,188.0,4426.159389948833,91.4616766065796,-1,1
7606,86.02340614724946,114.65257059233768,220.10377985273252,578.5328965583833,1190.0,99.0,4756.028088625564,79.7978519252029,-1,1
7773,99.44145171087256,101.0789006420473,302.851750706426,521.0857256305165,832.0,72.0,3115.7933111126767,67.99642753635234,-1,1
7823,47.838445673027366,66.87673561510607,223.19130648371623,810.9015317925637,749.0,97.0,3587.258228355939,71.19613624605081,-1,1
7836,52.03492148225025,57.22580394416941,236.55848801627064,706.394723397419,770.0,198.0,3447.594201232029,67.26698648968726,-1,1
7949,95.08857703668896,111.17056528616423,336.3062147453602,640.2649956097237,755.0,90.0,3847.581336165548,88.15691320829993,-1,1
7952,92.29628600864208,107.48125078749771,133.86664750844977,835.1342395821891,1153.0,194.0,3225.5858107871663,94.4234950236166,-1,1
8013,94.44147817347188,86.80771605400888,284.7486576928732,700.9659289621613,899.0,185.0,4307.253279455694,85.04596229488378,-1,1
8138,28.828281099544554,53.8499689660966,196.40272954094056,871.8932532871819,844.0,84.0,5228.204845448948,63.02031964105345,-1,1
8150,49.6725221518279,64.04837686649016,184.3504057768911,600.3435676867573,980.0,155.0,4723.483726584655,102.22118666460412,-1,1
8177,60.28331563486245,70.37810542976779,265.4355443656248,670.5011918458321,755.0,103.0,4653.383443543411,58.8679058277894,-1,1
8240,97.12824398669969,109.05227682349523,260.314430802098,831.0718589574149,827.0,148.0,3473.1777787759675,72.25184385883048,-1,1
8259,47.68812356412154,57.71764716876914,130.0100390306701,939.8292580687072,925.0,149.0,4519.791810699977,76.34531002613515,-1,1
8272,89.67856109826897,117.06698389724129,326.8990053025308,586.1908394446784,879.0,106.0,5462.290945031414,85.71290424040843,-1,1
8304,53.31498866931662,45.85005030392296,259.1801840312614,1065.5180594402732,775.0,196.0,5861.469857867016,74.51838007112579,-1,1
8314,103.63923549962446,111.05280303618623,252.599126936433,603.5058729582187,740.0,172.0,4819.447310712495,90.98192216753664,-1,1
8399,94.62312879257765,113.42534182009167,377.29449514821886,520.7445873399355,949.0,111.0,4456.3855832236695,91.02448913129533,-1,1
8405,71.35144627208487,112.91792265751242,223.97414948774363,655.0851712281294,900.0,139.0,4118.838099796991,81.69003063750218,-1,1
8493,89.44726911986828,116.98813224257226,184.5773689228477,896.188341679333,1133.0,60.0,5992.593784291077,88.36712927202116,-1,1
8541,81.37956629145242,113.77978879091656,283.1519249731275,771.4619062060723,931.0,128.0,4934.393219096206,94.06444305030148,-1,1
8545,64.26285854855394,73.85846924154784,262.60290217321995,567.9554153345399,1152.0,128.0,4279.024468007823,74.66499122134056,-1,1
8583,101.29739514408736,121.23988394541225,165.38998476090487,417.40942275568665,858.0,185.0,4178.059817082056,65.73017173503908,-1,1
8588,88.00399191297636,105.9537097118497,214.49760359611892,881.0453409984952,1176.0,114.0,3789.446827006625,87.24895431120947,-1,1
8617,52.2651162233606,50.2078522123586,221.41441639403743,578.7979702766669,967.0,88.0,4549.616018643037,85.24662334259074,-1,1
8702,30.56799206214206,62.677339350872046,217.05551265961583,786.8905326068807,939.0,144.0,3070.2347052187056,76.01345399962725,-1,1
8713,91.71624740583198,104.86774592399358,226.77035070778635,533.8787225040454,756.0,147.0,3967.590390620629,87.56420118890338,-1,1
8725,91.22576598869672,91.18045143939528,270.554360400033,519.7462619746409,1106.0,86.0,5063.377125771504,93.81318792219152,-1,1
8833,54.43597776272946,50.793703489918016,214.65265433666195,738.1659644158904,1009.0,119.0,3930.817551079346,78.2865659875246,-1,1
8834,102.06505463547252,91.79922139849432,278.4105961102658,882.9712904324218,1195.0,76.0,3424.396964741247,59.34341329879484,-1,1
8835,94.80877820146291,106.0865254399099,250.017143070967,905.5448210187378,903.0,83.0,3625.936386178173,76.25609456073818,-1,1
8846,91.5624348048989,117.215572178811,206.6551190534373,996.7879277068076,844.0,182.0,4908.180249159183,82.6241404925465,-1,1
8920,61.8331457592753,47.99552394706393,288.1625163787894,564.7371202588431,950.0,115.0,4738.118551525937,81.15824194117991,-1,1
9035,48.95307252649331,43.002156168558905,232.78170828946185,900.0744321182053,958.0,144.0,5758.731729320218,79.59019025637416,-1,1
9056,93.16459677983534,112.58221347588304,254.00344076773493,822.5294360023779,1191.0,108.0,4740.124387884909,77.0650879298335,-1,1
9091,91.52475057481142,99.68758083146012,321.5394178857462,652.1449512672937,788.0,123.0,4760.739665660259,77.6298818804351,-1,1
9135,89.68588598861575,109.58157199169828,257.7581099645988,292.7476341266273,1050.0,62.0,4996.15628576336,74.82355022234736,-1,1
9234,106.77000636790336,108.966460129767,231.5869396926188,543.9271353972481,948.0,111.0,5289.820275290429,83.49724252693086,-1,1
9273,55.33189864363148,59.97107099750538,348.7218980456386,633.7457949185052,935.0,89.0,5249.643037609925,95.51557329425538,-1,1
9308,97.20189314205132,106.50366841659796,232.83098611117208,573.9045758669121,1158.0,177.0,3927.129114624396,83.02825139692823,-1,1
9377,57.21804684976701,58.30965203750031,334.52088176168195,713.0912878195261,981.0,141.0,3971.36073398486,76.44379291609803,-1,1
9409,108.558053394315,99.31827897645978,275.99384706050006,684.9080829543066,929.0,198.0,3363.945018852356,74.84797748267233,-1,1
9418,96.07760055452545,124.12732149584976,366.5462344387564,674.3107947670626,1056.0,66.0,3990.923652138608,95.1455348730262,-1,1
9446,86.99777264600095,92.75427308639772,319.86463663414287,607.513405020637,954.0,167.0,4380.52945812376,79.29892716368406,-1,1
9451,49.15802725720445,53.03911712437209,204.76030353228697,948.6392697357328,1089.0,172.0,5472.606588174391,63.93445306911592,-1,1
9457,95.52372768727568,116.6817675648731,221.50695515307604,699.992869236222,1138.0,112.0,3184.14874025596,84.19812282094249,-1,1
9458,55.45460240482252,61.64300445310952,236.6682903165772,352.16639134893694,1041.0,152.0,3692.6934505406734,78.92894423813503,-1,1
9495,32.905646710409414,62.480279443576336,245.7316568539184,714.834617192091,1190.0,190.0,3538.8224555822344,77.30309404159749,-1,1
9511,34.801986663054066,66.82600772302249,248.91438310749248,615.9840010449203,987.0,75.0,4384.642998003405,65.41887720526725,-1,1
9587,100.80999539961692,112.06200619795666,214.8954434140608,561.6231403000152,749.0,130.0,4225.204123481423,80.16499992851884,-1,1
9604,103.5715838842329,91.32016856940832,292.19088024841216,660.7864693402447,940.0,135.0,5035.959785162061,65.46327908674927,-1,1
9627,69.01583661030352,63.68047404677075,155.35431497249866,530.8091455899232,1137.0,117.0,5677.641284620323,78.96070185368613,-1,1
9635,80.93280567440442,107.2612311817412,231.7672498940144,668.9722113623733,720.0,197.0,5028.035548516255,70.46475771671068,-1,1
9701,49.46703610809144,50.69770198709837,245.84259876181048,768.7319789059211,992.0,125.0,4901.677911193953,88.59472557936358,-1,1
9739,49.06094018848667,54.25767755053209,233.52210831622887,1023.69969248456,1096.0,136.0,3819.481093817691,65.0473108035496,-1,1
9782,33.902498721117254,58.79386564041633,188.72408237571088,916.8676631753192,1054.0,118.0,5442.543788424096,64.08760258078725,-1,1
9837,106.68580364273382,133.8738715596817,202.62963614080667,851.9740991185198,996.0,119.0,3625.576323419196,74.76374735042555,-1,1
9958,101.50667628792088,110.18876487868869,203.3082317290773,815.0665963720965,906.0,122.0,5655.987414767994,79.4283658739528,-1,1
10054,83.95548172145004,115.00471614956062,186.49037802494695,713.0166645827456,1108.0,93.0,3666.678186143234,98.02914581912762,-1,1
10061,47.38498925673054,66.58482909979101,251.76670600480864,573.1491926901848,991.0,60.0,4309.5778783035685,79.6935450140547,-1,1
10080,113.4866306896655,100.82133358370372,210.50817949749472,743.7069780641096,1131.0,85.0,5031.694783133164,84.81349374571899,-1,1
10175,42.99428819344232,58.9619029313208,159.1141871250498,344.3501831158157,848.0,152.0,3546.3959816802558,81.69539971390283,-1,1
10214,25.86659665277197,69.94257518185903,217.24837693608757,380.4768699942944,1005.0,152.0,3818.178812402588,86.95608911121019,-1,1
10235,46.46414291842604,59.572575265641895,239.4969054454895,763.4136419916896,1096.0,175.0,5139.750487350215,78.16067023013625,-1,1
10279,106.89642645485236,117.3427023476826,182.6236499681196,553.0909041621694,1150.0,66.0,3105.994963073117,87.67734191221027,-1,1
